"Tmu","TriNo","Code","Comnt"
683568359,821,1,"Trig. 821"
684265625,921,1,"Trig. 921"
685705078,720,1,"Trig. 720"
686400391,820,1,"Trig. 820"
687097656,920,1,"Trig. 920"
688490234,720,1,"Trig. 720"
689187500,820,1,"Trig. 820"
689884766,920,1,"Trig. 920"
691324219,711,1,"Trig. 711"
692019531,811,1,"Trig. 811"
692716797,911,1,"Trig. 911"
694109375,721,1,"Trig. 721"
694806641,821,1,"Trig. 821"
695503906,921,1,"Trig. 921"
696943359,720,1,"Trig. 720"
697638672,820,1,"Trig. 820"
698335938,920,1,"Trig. 920"
699728516,720,1,"Trig. 720"
700425781,820,1,"Trig. 820"
701123047,920,1,"Trig. 920"
702562500,711,1,"Trig. 711"
703257813,811,1,"Trig. 811"
703955078,911,1,"Trig. 911"
705347656,710,1,"Trig. 710"
706044922,810,1,"Trig. 810"
706742188,910,1,"Trig. 910"
708181641,710,1,"Trig. 710"
708876953,810,1,"Trig. 810"
709574219,910,1,"Trig. 910"
710966797,721,1,"Trig. 721"
711664063,821,1,"Trig. 821"
712361328,921,1,"Trig. 921"
713800781,720,1,"Trig. 720"
714496094,820,1,"Trig. 820"
715193359,920,1,"Trig. 920"
716585938,711,1,"Trig. 711"
717283203,811,1,"Trig. 811"
717980469,911,1,"Trig. 911"
719419922,710,1,"Trig. 710"
720115234,810,1,"Trig. 810"
720812500,910,1,"Trig. 910"
722205078,710,1,"Trig. 710"
722902344,810,1,"Trig. 810"
723599609,910,1,"Trig. 910"
725039063,721,1,"Trig. 721"
725734375,821,1,"Trig. 821"
726431641,921,1,"Trig. 921"
727824219,720,1,"Trig. 720"
728521484,820,1,"Trig. 820"
729218750,920,1,"Trig. 920"
730658203,711,1,"Trig. 711"
731353516,811,1,"Trig. 811"
732050781,911,1,"Trig. 911"
733443359,710,1,"Trig. 710"
734140625,810,1,"Trig. 810"
734837891,910,1,"Trig. 910"
736277344,721,1,"Trig. 721"
736972656,821,1,"Trig. 821"
737669922,921,1,"Trig. 921"
739062500,720,1,"Trig. 720"
739759766,820,1,"Trig. 820"
740457031,920,1,"Trig. 920"
741896484,711,1,"Trig. 711"
742591797,811,1,"Trig. 811"
743289063,911,1,"Trig. 911"
744681641,721,1,"Trig. 721"
745378906,821,1,"Trig. 821"
746076172,921,1,"Trig. 921"
747515625,720,1,"Trig. 720"
748210938,820,1,"Trig. 820"
748908203,920,1,"Trig. 920"
750300781,720,1,"Trig. 720"
750998047,820,1,"Trig. 820"
751695313,920,1,"Trig. 920"
753134766,720,1,"Trig. 720"
753830078,820,1,"Trig. 820"
754527344,920,1,"Trig. 920"
755966797,711,1,"Trig. 711"
756617188,811,1,"Trig. 811"
757314453,911,1,"Trig. 911"
758753906,721,1,"Trig. 721"
759449219,821,1,"Trig. 821"
761539063,711,1,"Trig. 711"
762236328,811,1,"Trig. 811"
762933594,911,1,"Trig. 911"
764373047,721,1,"Trig. 721"
765068359,821,1,"Trig. 821"
765765625,921,1,"Trig. 921"
767205078,720,1,"Trig. 720"
767855469,820,1,"Trig. 820"
768552734,920,1,"Trig. 920"
769992188,720,1,"Trig. 720"
771384766,920,1,"Trig. 920"
772777344,720,1,"Trig. 720"
773474609,820,1,"Trig. 820"
774171875,920,1,"Trig. 920"
775611328,711,1,"Trig. 711"
776306641,811,1,"Trig. 811"
777003906,911,1,"Trig. 911"
