weber_version,start_date,start_time,offset,trial,time,sid,condition,version,presentation,separation,code,stimulus,phase,value
0.3.1,2017-02-02,08:33:24,8,1,17.192961931228638,david,pilot,0.0.9,cont,6st,stream_2,,test,
0.3.1,2017-02-02,08:33:24,8,1,17.276296854019165,david,pilot,0.0.9,cont,6st,stream_2,,test,
0.3.1,2017-02-02,08:33:24,8,1,17.35963201522827,david,pilot,0.0.9,cont,6st,stream_2,,test,
0.3.1,2017-02-02,08:33:24,8,1,17.36744499206543,david,pilot,0.0.9,cont,6st,stimulus,medium,test,
0.3.1,2017-02-02,08:33:24,8,1,17.444228887557983,david,pilot,0.0.9,cont,6st,stream_2,,test,
0.3.1,2017-02-02,08:33:24,8,1,17.52756404876709,david,pilot,0.0.9,cont,6st,stream_2,,test,
0.3.1,2017-02-02,08:33:24,8,1,17.594232082366943,david,pilot,0.0.9,cont,6st,stream_1,,test,
0.3.1,2017-02-02,08:33:24,8,1,18.067548036575317,david,pilot,0.0.9,cont,6st,stimulus,medium,test,
0.3.1,2017-02-02,08:33:24,8,1,18.09632706642151,david,pilot,0.0.9,cont,6st,stream_1,,test,
0.3.1,2017-02-02,08:33:24,8,1,18.179661989212036,david,pilot,0.0.9,cont,6st,stream_1,,test,
0.3.1,2017-02-02,08:33:24,8,1,18.262996912002563,david,pilot,0.0.9,cont,6st,stream_1,,test,
0.3.1,2017-02-02,08:33:24,8,1,18.34633207321167,david,pilot,0.0.9,cont,6st,stream_1,,test,
0.3.1,2017-02-02,08:33:24,8,1,18.429666996002197,david,pilot,0.0.9,cont,6st,stream_1,,test,
0.3.1,2017-02-02,08:33:24,8,1,18.514709949493408,david,pilot,0.0.9,cont,6st,stream_1,,test,
0.3.1,2017-02-02,08:33:24,8,1,18.598044872283936,david,pilot,0.0.9,cont,6st,stream_1,,test,
0.3.1,2017-02-02,08:33:24,8,1,18.681380033493042,david,pilot,0.0.9,cont,6st,stream_1,,test,
0.3.1,2017-02-02,08:33:24,8,1,18.764718055725098,david,pilot,0.0.9,cont,6st,stream_1,,test,
0.3.1,2017-02-02,08:33:24,8,1,18.767632961273193,david,pilot,0.0.9,cont,6st,stimulus,medium,test,
0.3.1,2017-02-02,08:33:24,8,1,18.848052978515625,david,pilot,0.0.9,cont,6st,stream_1,,test,
0.3.1,2017-02-02,08:33:24,8,1,18.93138885498047,david,pilot,0.0.9,cont,6st,stream_1,,test,
0.3.1,2017-02-02,08:33:24,8,1,19.014724016189575,david,pilot,0.0.9,cont,6st,stream_1,,test,
0.3.1,2017-02-02,08:33:24,8,1,19.098058938980103,david,pilot,0.0.9,cont,6st,stream_1,,test,
0.3.1,2017-02-02,08:33:24,8,1,19.18139386177063,david,pilot,0.0.9,cont,6st,stream_1,,test,
0.3.1,2017-02-02,08:33:24,8,1,19.265743017196655,david,pilot,0.0.9,cont,6st,stream_1,,test,
0.3.1,2017-02-02,08:33:24,8,1,19.349079847335815,david,pilot,0.0.9,cont,6st,stream_1,,test,
0.3.1,2017-02-02,08:33:24,8,1,19.432415008544922,david,pilot,0.0.9,cont,6st,stream_1,,test,
0.3.1,2017-02-02,08:33:24,8,1,19.467731952667236,david,pilot,0.0.9,cont,6st,stimulus,medium,test,
0.3.1,2017-02-02,08:33:24,8,1,19.51575493812561,david,pilot,0.0.9,cont,6st,stream_1,,test,
