weber_version,start_date,start_time,offset,trial,time,sid,condition,deviant,version,code,stimulus,stimtrak,value
0.5.3,2017-06-08,09:36:26,19,17,1020.1810438810353,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.2145235323551,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.2481527182099,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.2815752247698,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.3094646116515,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.3427988346666,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.3843721705634,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.4190877914807,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.4649572509225,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.481624020249,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.5149575588875,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.5385600612208,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.5718949685979,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.613030650813,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.6493932046433,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.6827281120204,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.7160623350355,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.7511461462273,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.7678129155393,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.8011474807427,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.83624087309,mary,study2,ripple,0.1.0,stream_2,,,
